在哪	情境	現在的字	現在字數	建議的字	建議字數	為什麼改
apps/admin/src/lib/orders/manual-cancel-notice-messages.ts:104	按「登錄我已人工寄出取消通知」/「撤銷」/「我是用電話通知的」之後跳出來的結果	客人若說沒收到,去看這張單的「通知信」那一區有沒有紀錄;沒有就找工程查。	31	不改		本來就答得出①發生什麼事與②我該做什麼;改它只會變成換同義詞。
apps/admin/src/lib/orders/manual-cancel-notice-messages.ts:108	按「登錄我已人工寄出取消通知」/「撤銷」/「我是用電話通知的」之後跳出來的結果	這張單已經有取消通知紀錄了,沒有重複登錄。	19	不改		本來就答得出①發生什麼事與②我該做什麼;改它只會變成換同義詞。
apps/admin/src/lib/orders/manual-cancel-notice-messages.ts:114	按「登錄我已人工寄出取消通知」/「撤銷」/「我是用電話通知的」之後跳出來的結果	暫時讀不到這張單的資料,請稍後再試(沒有登錄任何東西)。	24	暫時讀不到這張單,等一下再試。什麼都沒寫進去。	20	拆兩句;句尾統一。
apps/admin/src/lib/orders/manual-cancel-notice-messages.ts:118	按「登錄我已人工寄出取消通知」/「撤銷」/「我是用電話通知的」之後跳出來的結果	寫不進稽核紀錄,所以【沒有】登錄 —— 請再試一次。	18	稽核紀錄寫不進去,所以這一筆【沒有】登錄。請再試一次。	22	原句把因果倒著講;順過來少一個轉折。
apps/admin/src/lib/orders/manual-cancel-notice-messages.ts:122	按「登錄我已人工寄出取消通知」/「撤銷」/「我是用電話通知的」之後跳出來的結果	登錄失敗,請再試一次。	9	登錄沒成功,再試一次。連續失敗請找工程師。	18	🔴 補②:原句失敗兩次之後員工不知道該做什麼。
apps/admin/src/lib/orders/manual-cancel-notice-messages.ts:127	按「登錄我已人工寄出取消通知」/「撤銷」/「我是用電話通知的」之後跳出來的結果	剛才有別人同時登錄了這張單,你這一次沒有寫入 —— 請重新整理看一下紀錄。	31	剛才有別人同時登錄了這張單,你這次沒寫進去。請重新整理看一下紀錄。	30	「沒有寫入」→「沒寫進去」,與這一族統一。
apps/admin/src/lib/orders/manual-cancel-notice-messages.ts:156	按「登錄我已人工寄出取消通知」/「撤銷」/「我是用電話通知的」之後跳出來的結果	沒有權限做這個動作(需要管理者),沒有撤銷任何東西。	22	你沒有權限,要找管理者。這一次什麼都沒寫進去。	20	同上, 三句統一成同一個講法。
apps/admin/src/lib/orders/manual-cancel-notice-messages.ts:160	按「登錄我已人工寄出取消通知」/「撤銷」/「我是用電話通知的」之後跳出來的結果	表單資料不完整,沒有撤銷任何東西。	15	表單有欄位沒填,什麼都沒寫進去。	14	同上。
apps/admin/src/lib/orders/manual-cancel-notice-messages.ts:165	按「登錄我已人工寄出取消通知」/「撤銷」/「我是用電話通知的」之後跳出來的結果	這張單目前沒有人工登錄的取消通知紀錄(可能已經被撤掉了),沒有撤銷任何東西。	34	不改		本來就答得出①發生什麼事與②我該做什麼;改它只會變成換同義詞。
apps/admin/src/lib/orders/manual-cancel-notice-messages.ts:171	按「登錄我已人工寄出取消通知」/「撤銷」/「我是用電話通知的」之後跳出來的結果	這一列是【系統自己寄的】,不是人工登錄的,所以不能撤銷。	23	不改		本來就答得出①發生什麼事與②我該做什麼;改它只會變成換同義詞。
apps/admin/src/lib/orders/manual-cancel-notice-messages.ts:174	按「登錄我已人工寄出取消通知」/「撤銷」/「我是用電話通知的」之後跳出來的結果	⚠️ 撤掉它可能讓那位客人再收到一封通知(要看那張單現在的狀態)。要處理請找工程。	34	不改		本來就答得出①發生什麼事與②我該做什麼;改它只會變成換同義詞。
apps/admin/src/lib/orders/manual-cancel-notice-messages.ts:178	按「登錄我已人工寄出取消通知」/「撤銷」/「我是用電話通知的」之後跳出來的結果	寫不進稽核紀錄,所以【沒有】撤銷 —— 請再試一次。	18	稽核紀錄寫不進去,所以這一筆【沒有】撤銷。請再試一次。	22	同上。
apps/admin/src/lib/orders/manual-cancel-notice-messages.ts:182	按「登錄我已人工寄出取消通知」/「撤銷」/「我是用電話通知的」之後跳出來的結果	撤銷失敗,請再試一次。	9	撤銷沒成功,再試一次。連續失敗請找工程師。	18	同上。
apps/admin/src/lib/orders/manual-cancel-notice-messages.ts:204	按「登錄我已人工寄出取消通知」/「撤銷」/「我是用電話通知的」之後跳出來的結果	沒有權限做這個動作(需要管理者),沒有記錄任何東西。	22	你沒有權限,要找管理者。這一次什麼都沒寫進去。	20	同上。
apps/admin/src/lib/orders/manual-cancel-notice-messages.ts:208	按「登錄我已人工寄出取消通知」/「撤銷」/「我是用電話通知的」之後跳出來的結果	表單資料不完整,沒有記錄任何東西。	15	表單有欄位沒填,什麼都沒寫進去。	14	同上。
apps/admin/src/lib/orders/manual-cancel-notice-messages.ts:212	按「登錄我已人工寄出取消通知」/「撤銷」/「我是用電話通知的」之後跳出來的結果	寫不進稽核紀錄,所以【沒有】記錄 —— 請再試一次。	18	稽核紀錄寫不進去,所以這一筆【沒有】記錄。請再試一次。	22	同上。
apps/admin/src/lib/orders/manual-cancel-notice-messages.ts:216	按「登錄我已人工寄出取消通知」/「撤銷」/「我是用電話通知的」之後跳出來的結果	這張單已經標記過「已電話通知」了,沒有重複記錄。	20	不改		本來就答得出①發生什麼事與②我該做什麼;改它只會變成換同義詞。
apps/admin/src/components/orders/manual-cancel-notice-button.tsx:67	訂單詳情頁「人工寄取消通知」那一區的說明與確認對話框	這張單沒有客人的信箱,所以是用電話通知的 —— 它不會出現在上面的「通知信」紀錄裡。	34	不改		本來就答得出①發生什麼事與②我該做什麼;改它只會變成換同義詞。
apps/admin/src/components/orders/manual-cancel-notice-button.tsx:88	訂單詳情頁「人工寄取消通知」那一區的說明與確認對話框	確定要撤銷「已人工寄出取消通知」的登錄嗎?\n\n	18	不改		本來就答得出①發生什麼事與②我該做什麼;改它只會變成換同義詞。
apps/admin/src/components/orders/manual-cancel-notice-button.tsx:96	訂單詳情頁「人工寄取消通知」那一區的說明與確認對話框	⚠️ 撤銷之後這張單會【重新回到「要人工寄」的提醒裡】。\n	20	不改		本來就答得出①發生什麼事與②我該做什麼;改它只會變成換同義詞。
apps/admin/src/components/orders/manual-cancel-notice-button.tsx:102	訂單詳情頁「人工寄取消通知」那一區的說明與確認對話框	⇒ 只有【按錯了、其實沒寄】才撤。如果你其實真的寄過信,	21	不改		本來就答得出①發生什麼事與②我該做什麼;改它只會變成換同義詞。
apps/admin/src/components/orders/manual-cancel-notice-button.tsx:103	訂單詳情頁「人工寄取消通知」那一區的說明與確認對話框	撤掉之後客人可能收到第二封(多數情況是由人再寄一次;	24	不改		本來就答得出①發生什麼事與②我該做什麼;改它只會變成換同義詞。
apps/admin/src/components/orders/manual-cancel-notice-button.tsx:104	訂單詳情頁「人工寄取消通知」那一區的說明與確認對話框	而如果那筆現金退款後來被作廢、錢改成全退回卡上,系統也可能自己寄)。	30	不改		本來就答得出①發生什麼事與②我該做什麼;改它只會變成換同義詞。
apps/admin/src/components/orders/manual-cancel-notice-button.tsx:113	訂單詳情頁「人工寄取消通知」那一區的說明與確認對話框	這張單已經登錄過「人工寄出取消通知」。	16	不改		本來就答得出①發生什麼事與②我該做什麼;改它只會變成換同義詞。
apps/admin/src/components/orders/manual-cancel-notice-button.tsx:114	訂單詳情頁「人工寄取消通知」那一區的說明與確認對話框	strong按錯了strong才需要撤銷 —— 撤了它會重新回到提醒裡。	19	不改		本來就答得出①發生什麼事與②我該做什麼;改它只會變成換同義詞。
apps/admin/src/components/orders/manual-cancel-notice-button.tsx:120	訂單詳情頁「人工寄取消通知」那一區的說明與確認對話框	撤銷這筆人工登錄	8	不改		本來就答得出①發生什麼事與②我該做什麼;改它只會變成換同義詞。
apps/admin/src/components/orders/manual-cancel-notice-button.tsx:131	訂單詳情頁「人工寄取消通知」那一區的說明與確認對話框	暫時讀不到這張單能不能登錄人工寄信(不是「不需要」)—— 重新整理看看。	28	不改		本來就答得出①發生什麼事與②我該做什麼;改它只會變成換同義詞。
apps/admin/src/components/orders/manual-cancel-notice-button.tsx:160	訂單詳情頁「人工寄取消通知」那一區的說明與確認對話框	確定要登錄「已人工寄出取消通知」嗎?\n\n	15	不改		本來就答得出①發生什麼事與②我該做什麼;改它只會變成換同義詞。
apps/admin/src/components/orders/manual-cancel-notice-button.tsx:167	訂單詳情頁「人工寄取消通知」那一區的說明與確認對話框	登錄之後,系統就不會再把這張單列進「還沒寄」的提醒。	22	不改		本來就答得出①發生什麼事與②我該做什麼;改它只會變成換同義詞。
apps/admin/src/components/orders/manual-cancel-notice-button.tsx:168	訂單詳情頁「人工寄取消通知」那一區的說明與確認對話框	⚠️ 按錯了可以用下面的「撤銷這筆人工登錄」改回來,而那需要管理者權限。	29	不改		本來就答得出①發生什麼事與②我該做什麼;改它只會變成換同義詞。
apps/admin/src/components/orders/manual-cancel-notice-button.tsx:177	訂單詳情頁「人工寄取消通知」那一區的說明與確認對話框	這張單是strong卡 + 現金混合退款strong,系統不會自動寄取消信,要人工寄。	25	不改		本來就答得出①發生什麼事與②我該做什麼;改它只會變成換同義詞。
apps/admin/src/components/orders/manual-cancel-notice-button.tsx:178	訂單詳情頁「人工寄取消通知」那一區的說明與確認對話框	寄好之後在這裡登錄一下,提醒才會消失。	17	不改		本來就答得出①發生什麼事與②我該做什麼;改它只會變成換同義詞。
apps/admin/src/components/orders/manual-cancel-notice-button.tsx:187	訂單詳情頁「人工寄取消通知」那一區的說明與確認對話框	填你實際寄出去的那個信箱	12	不改		本來就答得出①發生什麼事與②我該做什麼;改它只會變成換同義詞。
apps/admin/src/components/orders/manual-cancel-notice-button.tsx:195	訂單詳情頁「人工寄取消通知」那一區的說明與確認對話框	這張單上沒有留信箱 —— 請填你實際寄出去的那一個。	21	不改		本來就答得出①發生什麼事與②我該做什麼;改它只會變成換同義詞。
apps/admin/src/components/orders/manual-cancel-notice-button.tsx:197	訂單詳情頁「人工寄取消通知」那一區的說明與確認對話框	strong如果你是打電話通知的strong,別填這裡 —— 用下面那顆。	19	不改		本來就答得出①發生什麼事與②我該做什麼;改它只會變成換同義詞。
apps/admin/src/components/orders/manual-cancel-notice-button.tsx:204	訂單詳情頁「人工寄取消通知」那一區的說明與確認對話框	登錄我已人工寄出取消通知	12	不改		本來就答得出①發生什麼事與②我該做什麼;改它只會變成換同義詞。
apps/admin/src/components/orders/manual-cancel-notice-button.tsx:237	訂單詳情頁「人工寄取消通知」那一區的說明與確認對話框	⚠️ 客人的資料暫時讀不到,所以先不顯示「我是用電話通知的」那顆鈕	27	不改		本來就答得出①發生什麼事與②我該做什麼;改它只會變成換同義詞。
apps/admin/src/components/orders/manual-cancel-notice-button.tsx:238	訂單詳情頁「人工寄取消通知」那一區的說明與確認對話框	—— strong不是這張單不需要strong。重新整理看看。	14	不改		本來就答得出①發生什麼事與②我該做什麼;改它只會變成換同義詞。
apps/admin/src/components/orders/manual-cancel-notice-button.tsx:250	訂單詳情頁「人工寄取消通知」那一區的說明與確認對話框	確定要標記「已電話通知」嗎?\n\n	11	不改		本來就答得出①發生什麼事與②我該做什麼;改它只會變成換同義詞。
apps/admin/src/components/orders/manual-cancel-notice-button.tsx:251	訂單詳情頁「人工寄取消通知」那一區的說明與確認對話框	⚠️ 這個動作【不能撤銷】:標記之後這張單就不會再出現在提醒裡。\n	25	不改		本來就答得出①發生什麼事與②我該做什麼;改它只會變成換同義詞。
apps/admin/src/components/orders/manual-cancel-notice-button.tsx:252	訂單詳情頁「人工寄取消通知」那一區的說明與確認對話框	⇒ 只有你**真的打過電話通知客人**才按。按錯了要請主管在稽核紀錄裡查。	29	不改		本來就答得出①發生什麼事與②我該做什麼;改它只會變成換同義詞。
