在哪	情境	現在的字	現在字數	建議的字	建議字數	為什麼改
apps/admin/src/lib/orders/note-action-state.ts:115	新增備註之後的結果	備註內容太長(上限 4000 字),請縮短後再送出。	16	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/orders/note-action-state.ts:116	新增備註之後的結果	這筆備註已經被更正過了,一筆只能更正一次;請改為重新登記一筆新的紀錄。	32	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/orders/note-action-state.ts:117	新增備註之後的結果	系統參數有誤,備註沒有寫入。請停手並通知系統維護,不要重複按送出。	29	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/orders/note-action-state.ts:118	新增備註之後的結果	找不到這張訂單(可能剛被移除),備註沒有寫入。請停手並通知系統維護。	29	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/orders/note-action-state.ts:119	新增備註之後的結果	找不到要更正的那筆備註,備註沒有寫入。請停手並通知系統維護。	27	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/orders/note-action-state.ts:120	新增備註之後的結果	沒有權限或登入狀態已失效,備註沒有寫入。	18	可能沒有權限,也可能登入過期了。備註沒有寫入。先重新登入試一次;還是不行請找管理者。	37	🔵 **Sean 第一批已經拍板改過這個片語**(result-banner 的 denied)—— 這裡是同一句話的另外 7 個副本。📌 不是我的判斷, 是他的裁決還沒蓋到這裡。
apps/admin/src/lib/orders/note-action-state.ts:121	新增備註之後的結果	表單內容不正確,備註沒有寫入。	13	表單有地方不對,備註沒有寫入。哪一格不對會標在旁邊。	23	🔵 同上 —— Sean 第一批拍板過「表單內容不正確」→「表單有地方不對」, 這裡是另外 7 個副本;並補②(去哪看)。
apps/admin/src/lib/orders/note-action-state.ts:123	新增備註之後的結果	系統狀態異常,備註可能已經寫進去了。請先重新整理這張單,確認備註在不在;	32	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/orders/note-action-state.ts:124	新增備註之後的結果	若不在,請通知系統維護,不要直接重複按送出。	19	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/orders/note-action-state.ts:125	新增備註之後的結果	寫入失敗,備註可能已經寫進去了。請重新整理這張單確認之後再決定要不要重送。	34	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/orders/payment-action-state.ts:156	登錄收款之後的結果	系統設定有問題(交易隔離層級不對),這筆收款沒有寫入。請找工程處理,不是稍後再試。	35	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/orders/payment-action-state.ts:157	登錄收款之後的結果	你的操作者身分無效或已停用,這筆收款沒有寫入。請重新登入;還是不行請找工程。	34	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/orders/payment-action-state.ts:159	登錄收款之後的結果	收款時點不在可接受的範圍 —— 不能填未來的時間,也不能早於這張單成立的時間。請改日期。	37	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/orders/payment-action-state.ts:160	登錄收款之後的結果	這張單已經有退款紀錄,不能再登錄收款。	17	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/orders/payment-action-state.ts:166	登錄收款之後的結果	收款帳本沒有收到這筆(系統異常,已整筆回滾)。請不要重複按送出,先找工程確認。	33	不改		🔴 判準④:這句帶專有詞(帳本)而它在劃界線 —— 換白話會把兩個不同的東西講成同一個(我 2026-09-10 在「可退上限 vs 還能退」上實撞過)。
apps/admin/src/lib/orders/payment-action-state.ts:174	登錄收款之後的結果	這張單現在不能登錄收款,或是送出的內容不正確。	21	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/orders/payment-action-state.ts:175	登錄收款之後的結果	請先看上方的收款明細有沒有已經登錄的那一筆(可能上一次其實已經記進去了);	34	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/orders/payment-action-state.ts:176	登錄收款之後的結果	確認沒有之後,再重新整理頁面確認這張單的狀態、重新送一次。	26	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/orders/payment-action-state.ts:177	登錄收款之後的結果	沒有權限執行這個動作,這筆收款沒有寫入。請找工程確認權限設定。	28	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/orders/payment-action-state.ts:178	登錄收款之後的結果	沒有權限或登入狀態已失效,這筆收款沒有寫入。	20	可能沒有權限,也可能登入過期了。這筆收款沒有寫入。先重新登入試一次;還是不行請找管理者。	39	🔵 **Sean 第一批已經拍板改過這個片語**(result-banner 的 denied)—— 這裡是同一句話的另外 7 個副本。📌 不是我的判斷, 是他的裁決還沒蓋到這裡。
apps/admin/src/lib/orders/payment-action-state.ts:179	登錄收款之後的結果	表單內容不正確,這筆收款沒有寫入。	15	表單有地方不對,這筆收款沒有寫入。哪一格不對會標在旁邊。	25	🔵 同上 —— Sean 第一批拍板過「表單內容不正確」→「表單有地方不對」, 這裡是另外 7 個副本;並補②(去哪看)。
apps/admin/src/lib/orders/payment-action-state.ts:182	登錄收款之後的結果	系統狀態異常,這筆收款沒有寫入。請重新整理這張單確認之後再操作,不要重複按送出。	36	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/orders/payment-action-state.ts:194	登錄收款之後的結果	寫入失敗,但這筆收款可能已經寫進去了。請直接看上方的收款明細裡有沒有這一筆:	35	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/orders/payment-action-state.ts:195	登錄收款之後的結果	有就是已經記好了(不用再送);沒有才重新送出這張表單。	23	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/orders/payment-action-state.ts:196	登錄收款之後的結果	在確認之前先不要重新整理頁面 —— 重新整理會換一把新的鍵,那時再送就會變成第二筆收款。	38	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/orders/payment-actions.ts:102		請檢查:${missing.join('、')}。	3	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/orders/procurement-action-state.ts:117	新增/更新採購之後的結果	這家供應商已停用,不能新建採購、也不能調高訂購數量。	23	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/orders/procurement-action-state.ts:118	新增/更新採購之後的結果	(已建立的採購仍可更新回覆狀態、單號、異常原因等紀錄欄。)	24	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/orders/procurement-action-state.ts:120	新增/更新採購之後的結果	這個品項的各家採購數量加起來超過可訂購數量。請調低本筆數量;	28	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/orders/procurement-action-state.ts:121	新增/更新採購之後的結果	若本筆已經是 1 件降不下去(例如另一家掛著缺貨卻仍佔著配額),	26	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/orders/procurement-action-state.ts:122	新增/更新採購之後的結果	要先去把「那一家」的訂購數量調低或改掉,再回來新增這一筆。	25	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/orders/procurement-action-state.ts:123	新增/更新採購之後的結果	訂購數量不能低於這筆採購已經到貨的數量。	19	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/orders/procurement-action-state.ts:124	新增/更新採購之後的結果	訂購數量要是 1 到 100000 之間的整數。	12	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/orders/procurement-action-state.ts:125	新增/更新採購之後的結果	回覆狀態不正確,請重新選擇。	12	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/orders/procurement-action-state.ts:126	新增/更新採購之後的結果	聯絡管道不正確(上限 200 字、不能含控制字元)。	17	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/orders/procurement-action-state.ts:128	新增/更新採購之後的結果	供應商單號不正確(上限 200 字、前後不能有空白、不能含看不見的字元)。	27	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/orders/procurement-action-state.ts:129	新增/更新採購之後的結果	這一欄之後要靠它跨單搜尋,混到空白就查不到。	20	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/orders/procurement-action-state.ts:130	新增/更新採購之後的結果	異常原因不正確(上限 500 字、不能含控制字元)。	17	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/orders/procurement-action-state.ts:131	新增/更新採購之後的結果	送出時間超出合理範圍,請確認年份。	15	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/orders/procurement-action-state.ts:132	新增/更新採購之後的結果	送出時間不能填未來的時間。	12	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/orders/procurement-action-state.ts:133	新增/更新採購之後的結果	預計到貨日超出合理範圍,請確認年份。	16	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/orders/procurement-action-state.ts:134	新增/更新採購之後的結果	系統參數有誤,採購沒有寫入。請停手並通知系統維護。	22	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/orders/procurement-action-state.ts:135	新增/更新採購之後的結果	找不到這個品項(可能剛被移除),採購沒有寫入。請停手並通知系統維護。	29	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/orders/procurement-action-state.ts:136	新增/更新採購之後的結果	找不到這家供應商,採購沒有寫入。請停手並通知系統維護。	24	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/orders/procurement-action-state.ts:137	新增/更新採購之後的結果	沒有權限或登入狀態已失效,採購沒有寫入。	18	可能沒有權限,也可能登入過期了。採購沒有寫入。先重新登入試一次;還是不行請找管理者。	37	🔵 **Sean 第一批已經拍板改過這個片語**(result-banner 的 denied)—— 這裡是同一句話的另外 7 個副本。📌 不是我的判斷, 是他的裁決還沒蓋到這裡。
apps/admin/src/lib/orders/procurement-action-state.ts:138	新增/更新採購之後的結果	表單內容不正確,採購沒有寫入。	13	表單有地方不對,採購沒有寫入。哪一格不對會標在旁邊。	23	🔵 同上 —— Sean 第一批拍板過「表單內容不正確」→「表單有地方不對」, 這裡是另外 7 個副本;並補②(去哪看)。
apps/admin/src/lib/orders/procurement-action-state.ts:154	新增/更新採購之後的結果	這個品項的採購清單這次沒有完整載入,現在送出會用不完整的內容覆蓋既有資料。	35	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/orders/procurement-action-state.ts:155	新增/更新採購之後的結果	請看畫面上那則說明(它會告訴你這是哪一種情況、下一步該做什麼)。	28	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/orders/procurement-action-state.ts:157	新增/更新採購之後的結果	這張表單還沒載入完成就被送出,採購沒有寫入(避免把沒填到的欄位清空)。	31	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/orders/procurement-action-state.ts:158	新增/更新採購之後的結果	請等畫面載入完成後再操作一次。	14	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/orders/procurement-action-state.ts:159	新增/更新採購之後的結果	系統狀態異常,採購沒有寫入。請重新整理這張單確認之後再操作,不要重複按送出。	34	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/orders/procurement-action-state.ts:161	新增/更新採購之後的結果	寫入失敗,採購可能已經寫進去了。請重新整理這張單確認目前的內容之後,再決定要不要重送。	39	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/orders/procurement-actions.ts:192		[admin/orders/procurement] 品項歸屬查詢失敗	8	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/orders/procurement-actions.ts:202		[admin/orders/procurement] 品項不屬於這張訂單,拒絕寫入	13	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/orders/receipt-action-state.ts:109	登錄到貨之後的結果	這張單被取消掉的份額不能再登錄到貨。	17	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/orders/receipt-action-state.ts:110	登錄到貨之後的結果	如果貨真的到了,請把「到貨幾件」改成 0、把實際到的件數填進「溢收」——	26	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/orders/receipt-action-state.ts:111	登錄到貨之後的結果	這樣帳上查得到這批貨,但不會掛回這張單、也不會拿去出貨。	25	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/orders/receipt-action-state.ts:116	登錄到貨之後的結果	到貨件數超過這筆採購還能登錄的件數(訂購數扣掉先前已登錄的到貨)。請先確認供應商出貨單;	40	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/orders/receipt-action-state.ts:117	登錄到貨之後的結果	如果對方確實多送了,把「到貨幾件」填到還能登錄的上限、多出來的填進「溢收」。	31	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/orders/receipt-action-state.ts:120	登錄到貨之後的結果	到貨與溢收都要是 0 以上的整數,而且兩者加起來要在 1 到 100000 件之間。	26	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/orders/receipt-action-state.ts:121	登錄到貨之後的結果	備註太長了(上限 500 字)。	8	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/orders/receipt-action-state.ts:122	登錄到貨之後的結果	請填到貨時間。	6	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/orders/receipt-action-state.ts:123	登錄到貨之後的結果	到貨時間超出合理範圍,請確認年份。	15	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/orders/receipt-action-state.ts:124	登錄到貨之後的結果	到貨時間不能填未來的時間。	12	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/orders/receipt-action-state.ts:126	登錄到貨之後的結果	找不到這筆採購(可能剛被移除),到貨沒有寫入。請重新整理這張單再看一次。	31	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/orders/receipt-action-state.ts:132	登錄到貨之後的結果	這筆採購已經作廢了,到貨沒有寫入。	15	不改		🔴 判準④:這句帶專有詞(作廢)而它在劃界線 —— 換白話會把兩個不同的東西講成同一個(我 2026-09-10 在「可退上限 vs 還能退」上實撞過)。
apps/admin/src/lib/orders/receipt-action-state.ts:133	登錄到貨之後的結果	請重新整理這張單,看看同一家供應商是不是另有一筆生效中的採購 —— 有的話請登錄到那一筆;	39	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/orders/receipt-action-state.ts:134	登錄到貨之後的結果	沒有的話,請先重新對這家供應商下一筆採購,再登錄到貨。	24	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/orders/receipt-action-state.ts:136	登錄到貨之後的結果	這筆到貨先前已經登錄過,而且後來被刪除了 —— 這次沒有重新建立。	27	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/orders/receipt-action-state.ts:137	登錄到貨之後的結果	如果這批貨確實該記進來,請重新整理頁面,用新的一次登錄。	25	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/orders/receipt-action-state.ts:139	登錄到貨之後的結果	這筆到貨先前已經登錄過,但現在查不到它的狀態。請重新整理這張單,確認到貨紀錄在不在,再決定要不要重登。	46	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
apps/admin/src/lib/orders/receipt-action-state.ts:140	登錄到貨之後的結果	沒有權限或登入狀態已失效,到貨沒有寫入。	18	可能沒有權限,也可能登入過期了。到貨沒有寫入。先重新登入試一次;還是不行請找管理者。	37	🔵 **Sean 第一批已經拍板改過這個片語**(result-banner 的 denied)—— 這裡是同一句話的另外 7 個副本。📌 不是我的判斷, 是他的裁決還沒蓋到這裡。
apps/admin/src/lib/orders/receipt-action-state.ts:141	登錄到貨之後的結果	表單內容不正確,到貨沒有寫入。	13	表單有地方不對,到貨沒有寫入。哪一格不對會標在旁邊。	23	🔵 同上 —— Sean 第一批拍板過「表單內容不正確」→「表單有地方不對」, 這裡是另外 7 個副本;並補②(去哪看)。
apps/admin/src/lib/orders/receipt-action-state.ts:142	登錄到貨之後的結果	系統狀態異常,到貨沒有寫入。請重新整理這張單確認之後再操作,不要重複按送出。	34	不改		本來就答得出①發生什麼事與②我該做什麼;動它只會變成換同義詞(Sean 判準①)。
